Title,Frequency,color
01.1dialogue1.1,50,1
01CITIES & MEMORY 1,28,1
02CITIES & MEMORY 2,49,1
03CITIES & DESIRE 1,83,1
04CITIES & MEMORY 3,158,2
05CITIES & DESIRE 2,46,1
06CITIES & SIGNS 1,58,1
07CITIES & MEMORY 4,11,1
08CITIES & DESIRE 3,5,1
09CITIES & SIGNS 2,17,1
10.1dialogue1.2,110,2
10.2dialogue2.1,269,3
10THIN CITIES 1,57,1
11CITIES & MEMORY 5,31,1
12CITIES & DESIRE 4,20,1
13CITIES & SIGNS 3,19,1
14THIN CITIES 2,58,1
15.1dialogue2.2,54,1
15.2dialogue3.1,423,3
15TRADING CITIES 1,17,1
16CITIES & DESIRE 5,52,1
17CITIES & SIGNS 4,31,1
18THIN CITIES 3,62,1
19TRADING CITIES 2,105,2
20.1dialogue3.2,24,1
20.2dialogue4.1,43,1
20CITIES & EYES 1,57,1
21CITIES & SIGNS 5,16,1
22THIN CITIES 4,30,1
23TRADING CITIES 3,62,1
24CITIES & EYES 2,50,1
25.1dialogue4.2,78,1
25.2dialogue5.1,33,1
25CITIES & NAMES 1,38,1
26THIN CITIES 5,11,1
27TRADING CITIES 4,32,1
28CITIES & EYES 3,32,1
29CITIES & NAMES 2,2,1
30.1dialogue5.2,66,1
30.2dialogue6.1,169,2
30CITIES & THE DEAD 1,3,1
31TRADING CITIES 5,6,1
32CITIES & EYES 4,74,1
33CITIES & NAMES 3,70,1
34CITIES & THE DEAD 2,174,2
35.1dialogue6.2,21,1
35.2dialogue7.1,63,1
35CITIES & THE SKY 1,32,1
36CITIES & EYES 5,4,1
37CITIES & NAMES 4,25,1
38CITIES & THE DEAD 3,16,1
39CITIES & THE SKY 2,9,1
40.1dialogue7.2,20,1
40.2dialogue8.1,54,1
40CONTINUOUS CITIES 1,50,1
41CITIES & NAMES 5,41,1
42CITIES & THE DEAD 4,49,1
43CITIES & THE SKY 3,71,1
44CONTINUOUS CITIES 2,30,1
45.1dialogue8.2,26,1
45.2dialogue9.1,121,1
45HIDDEN CITIES 1,2,1
46CITIES & THE DEAD 5,41,1
47CITIES & THE SKY 4,27,1
48CONTINUOUS CITIES 3,23,1
49HIDDEN CITIES 2,149,2
51CONTINUOUS CITIES 4,8,1
52HIDDEN CITIES 3,108,2
53CONTINUOUS CITIES 5,12,1
54HIDDEN CITIES 4,57,1
55HIDDEN CITIES 5,23,1
56dialogue9.2,551,3
