name,review,time,rating,language,post_time,month,year,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,length
Dolors,"Theories.One could easily declare that the protagonists of this book are the cities, which are different versions of the same city that doesn’t really exist, only maybe in the writer’s mind. Either Venice or Paris, Calvino’s cities are a trip through imagination to lives never had, doors never opened, people never met.Someone else might appoint the reader as the real protagonist of Calvino’s book for he becomes the traveler who visits these cities mentally, which are nothing else than representations of his current mood, his past experiences and his unverbalized longings. The cities change shape and adapt to the traveler’s desires, they blend together into that tenuous moment between sleep and waking, the split second when dreaming occurs.The interpretation of a third reader might allude to the allegoric meaning of the interludes between the extravagant descriptions of the cities where Marco Polo proves the deceitful nature of language to the Chinese Emperor Kublai Khan through silent gesticulation. The Venetian merchant smuggles moods, states of grace and elegies instead of material riches, maybe as a metaphor to show the Chinese ruler that conquering cities is like accumulating empty shells, a nothingness that lacks cohesion, for their true wealth is to be found in their people, not in the physical space they inhabit. How does one imprison souls?Free style.Truth is I am unable to tell you what this book is about. It’s certainly not about what I wrote above. But maybe it is. Every reader will discover its meaning in the surrealistic patterns of titles and alternating themes that give shape to an unrepeatable skyline, a personal print that will only fit the soul of each traveler.To me, Calvino’s cities represent the deadlock between dreams and reality and the way we connect them in our minds to dominate the pulse of time. Unsought memories carry the heavy load of past experiences, and that burden of nostalgia opens the door to unfulfilled desires that materialize into the tangible futures we will never own. How many lives can the keen observer recreate in his mind? How many times can we alter the past in mental recreation, bring the dead back to life by thinking of them? But remembering doesn’t come face forward, it ambushes you around sideways and oftentimes traps you in a deadly embrace, and the reflected image may replace the original thought. In the end, amidst a labyrinthine maze of canals, ancient Gods of locals and foreigners clinging to the threshold of upside down doors and black-and-white strings attaching relationships between the inhabitants of a spider-web city, I couldn’t resist the allure of Maurilia. This was the city where I could finally put my discombobulated mind at rest. The comfortable safety of its sepia postcards brought me back to the cozy evenings with granny when I had only to concentrate on the invisible map her bonny fingers scratched gently on my back after a tepid day at school. Calvino led me to here and now to type these words that make her precious presence more real than ever. I can even delineate the shape of the sound of her fluttering voice clearly in my head. Hello, Granny. Thank you, Calvino.",2013-06-08 16:31:44,5,en,2013-06-08 16:31:44,6,2013,0.00099,0.00011,0.00018,0.00012,0.00019,0.00016,528
Henry Avila,"This a litany of cities (55) obviously fictitious, exquisitely described by Marco Polo to the great Mongol emperor Kublai Khan... he is understandably dubious. Imagination flows gently through the words of Marco Polo at the grand royal palace in Beijing, towns nobody seen let alone accept. The renowned traveler enjoys visiting new places some very beautifully chronicled by him these settlements but with a touch of creativity which the mind cannot fathomed, yet amaze, city after city, superb even those floating in the air unreachable to all, others underground the citizens in them oblivious to the rest of the world, those looking up feel jealous the mystery unexplained, walls impregnable, roads which take you away from the towns but never to them, sea ports, inland isolated metropolises alone in the vast deserts, they glitter in the sunshine and fade at night. Strangely though the great khan notices no mention of Venice...You would think the continuous page after page of rather unbelievable cities would get monotonous but this is incorrect, as such allure is never boring. The architecture so fantastic it could not exist on the Earth only in the bottomless mind. People like to hope in something they know is impossible their run- of- the - mill lives are unexciting, needing to be charmed, stimulated, dream about what's over the other side of the hill. This will always be true the stories that take them from the humdrum to the heights are perpetual in fashion, humans strive to arrive in a land of the riddle and try solving the enigma, may this be forever. The author of the book Italo Calvino Cuban born with Italian parents , an unique magnificent writer of the visual who lived in Italy. Both a journalist, short story writer and novelist he engaged in, becoming a master of fantasy as shown here and rich, famous, few could capture its essence better. For the person who wants to escape reality and spend a little time in the what could be, imagination is another way to live at least for a short while...Isn't that enough?",2019-11-10 10:52:56,4,en,2019-11-10 10:52:56,11,2019,0.00077,0.00011,0.00017,0.00012,0.00018,0.00015,348
John Mauro,"My review of Invisible Cities is published at Before We Go Blog.“Cities, like dreams, are made of desires and fears, even if the thread of their discourse is secret, their rules are absurd, their perspectives deceitful, and everything conceals something else.”Invisible Cities is a tour de force from Italo Calvino, the late Italian master of speculative fiction. This uniquely constructed novel is set in the late thirteenth century in the court of Kublai Khan. The Venetian explorer, Marco Polo, captivates the Tartar Emperor with descriptions of the cities from his unprecedented travels. By this time, the Mongol Empire has grown to be the largest that the world has ever seen. In the future, it will be eclipsed only by the British Empire in terms of the land area under its control.The Empire has grown so large that the Great Khan feels like he doesn’t even know his own lands. He only learns about the far-flung cities in and beyond his Empire through the stories of travelers, and the well-traveled and poetically tongued Marco Polo is the greatest explorer and storyteller of them all.Marco Polo tells Kublai Khan of wondrous and beautiful cities, cities of passion and desire, cities of memory, cities of light and the sky, trading cities, cities of signs, hidden cities, cities of the dead. The Great Khan is captivated by Marco Polo’s poetic descriptions throughout Invisible Cities.While Marco Polo introduces each city by a different name, it soon becomes apparent that the descriptions are actually different facets of a single city: his beloved hometown of Venice. In this sense, Invisible Cities becomes Italo Calvino’s love letter to Venice.But the scope is much broader than we think. It’s true that each description is a different aspect of Venice. But in Invisible Cities, Marco Polo is really describing all cities the world has ever seen or ever will see. He is describing ancient cities like Babylon, future cities like Los Angeles, and even mythical cities like Atlantis or Utopia. He is describing the universe of all possible cities that could ever exist, now, in the past, in the future, or in some alternate reality.It is hard for me to describe the beauty and nuance of Invisible Cities. Just as Marco Polo describes his hometown in this work, as a reader you will find him describing yours as well. Italo Calvino will lead you to discover new and beautiful facets of urbanity in your own surroundings.",2021-11-19 18:37:57,5,en,2021-11-19 18:37:57,11,2021,0.00079,0.00011,0.00017,0.00012,0.00017,0.00015,406
Michael Finocchiaro,"This is my favourite Calvino book and the one I always suggest to friends to ask me for an interesting easy read or a start into Calvino's universe. It is hard to write a long review here without giving away the entire story but suffice it to say that it is poetic prose at its best. In a nutshell, Marco Polo describes to Kublai Khan the various cities he has been to before his visit to China between 1271 and 1275 CE. Each description is more fanciful and beautiful than the previous and there is a spectacular poetic dénouement.The nearest equivalent in graphic novels for me would be the many melancholy works of Schuitten in Les Cités Obscures series. A total classic and must read.",2016-09-17 18:55:06,5,en,2016-09-17 18:55:06,9,2016,0.00068,0.00011,0.00017,0.00013,0.00017,0.00014,125
Seemita,"You landed in my world on a calm, dewy eveningAnd struck was I with a song I was about to sing;A song that lay hidden in the silhouettes of each letterThat protruded from the cover, all poised to embitter.But waited I, patiently, under the light of the mundane day;You see, Mr. Calvino, I had a knack of seeing your way.Fusing the curious with the depth, and peppering them with some humor too;All too often, you had served, a world that was both fictional and true.So, on a fine evening, when all your cities rose, at once, to a noisy chatter,I exited my world and entered yours, as it was now, an urgent matter.Welcome!, said Kublai Khan, The Imperious Chinese Emperor,Even as he kept his gaze fixed at one particular Conjurer.This particular Conjurer bore remote resemblance to the mighty Apollo;Ah! He had his name! ‘Step in.’, said the Venetian, Marco Polo.And so, with his highness Khan, I embarked on a tour of his empire,Ably recounted for us, through the dazzling eyes of his humble sire. While Isidora dyed me old even as my dreams kept fluttering in their youthful room,Anastasia set my desires and memories in a vicious cycle, not knowing who fuels whom;Zora pumped heavy sighs from the womb of forgotten cities,As Mauralia lulled me into a nostalgic film of small felicities.Said Marco Polo, all cities are same – same in desire and dementia, promise and insipidity, joy and remorse,
  “You take delight not in a city’s seven or seventy wonders, but in the answer it gives to a question of yours.”
I paused to ponder, questioning him aloud about the revelations he just made,But he continued to lead me into more cities, bustling with myths, death and trade.He played with my biases at Baucis where people resided on clouds instead,He suspended my belief in Octavia where the entire city stood running on a net! Hopping Hypatia, Armilla, Beershaba and Leonia, when I stepped into Thekla,Marco Polo held back my hand, ‘Watch out, work is still on this messy land.’
  ”Why the construction is still on?
 I asked a peddler scurrying by,
  “So that its destruction cannot begin.”
 was his curt reply.Walking gingerly in an air of puzzle, I witnessed Olinda and Procopia in a mild jostle,One seemed to hold many cities in her womb and the other kept multiplying her people.I stood there, letting the horses of my thoughts, to run amok these many cities,To gauge what lied beneath this expedition, this mind-boggling imaginative treatise.I opened my mouth to ask but Mr. Calvino, you appeared from nowhere,‘The tour is over!’ is all you said, not paying heed to my nasty stare.Here I am now, jumbling my geography and history, and a bit of memory as wellAnd filling mighty gaps that can serve as a decent rejoinder, I have this to tell - Essential is not the fact whether these cities can be discovered on a map;The essence lies, instead, in hunting for a common stamp.A common stamp that shall impart an identity free of colour and creed,Irrespective of our place of birth, shall bind us with the same deed.Deed bellowing swirls of compassion, industry and honesty sans any chagrin And a city of such deeds doesn’t lie outside but reigns unequivocally within.Trust Mr. Calvino to show you, how subliminal accounting of life appears,Follow Mr. Calvino to receive in your lap, sparkling wishes to last years.Beware of his trap though! Don’t fall for his genius all too much,Oh but this is futile warning, for there is no way to escape his touch.----The tour snippet is here! 
  “The inferno of the living is not something that will be; if there is one, it what is already here, the inferno where we live every day, that we form by being together. There are two ways to escape suffering it. The first is easy for many; accept the inferno and be such a part of it that you can no longer see it. The second is risky and demands constant vigilance and apprehension: seek and learn to recognize who and what, in the midst of the inferno, are not inferno, then make them endure, give them space.”
Because in my book, both are paragons of imagination.>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>",2017-08-23 15:35:58,5,en,2017-08-23 15:35:58,8,2017,0.00635,0.00012,0.00042,0.00019,0.00046,0.00027,706
Luís,"Marco Polo dialogues with Kublai Khan, telling him how he feels about the imaginary cities he has visited. Each small chapter composes them: towns and memory, cities and desire, tapered cities, cities and gaze, and cities and the dead, with a few variations. I believe that to appreciate this text better, it would be necessary to provide a decoder. Unfortunately, I had not transported as I had hoped; he slightly annoyed me.",2020-06-25 00:28:38,2,en,2020-06-25 00:28:38,6,2020,0.00059,0.00013,0.00018,0.00013,0.00018,0.00015,72
J.G. Keely,"In writing, pretension is the act of pulling your hamstring while lifting your pen. It is that sudden, clear, and unfortunate. It should also be avoidable, but anyone gifted with a grain of brilliance is tempted to extend it as far as they can, like Donne's speck of dust stretched the length of the universe, one is left wondering whether it was more ludicrous or thought-provoking.Calvino's 'Invisible Cities' is a series of descriptions of mythical, impossible cities told by Marco Polo to Kublai Khan. Each short description is like one of Donne's metaphysical poems: presenting a philosophical argument or idea and then turning it on its head. As an Italian, Calvino drew his inspiration from the same source as Donne: Francesco Petrarch.Petrarch is the innovator of the modern sonnet, the modern love poem, and 'confessional' poetry. However, before you all wish him dead(er), his 'love' and 'confessions' were only the cover for his philosophical explorations. Like Sidney, Shakespeare, Wyatt, and the Victorian poets (Keats, Browning, Byron), the surface of the poem is not the whole story.Also like Petrarch, Calvino's short pieces all work together to create a grander story, using repetition and developing symbols to create webs of meaning from one story to any other. Both Petrarch and Calvino take a narrow view for their collections, one Love and the other Cities, but Petrarch does more with his.Calvino's repetition is sometimes interesting and meaningful, but often, it seems like he's still trying to hash out his ideas. Some of the cities are remarkable and poignant, but others somewhat scattered and redundant.The frame story of Polo and Kublai also vacillates in profundity. At it's best, it questions the nature of human relationships, interaction, understanding, and language barriers. At other times it descends into New Age metaphysics and solipsism: endlessly wondrous, endlessly pointless, and perfect for capturing the imagination of the first-year philosophy major.These moments of overextension are balanced by some truly thought-provoking and delightful observations and questions about the nature of the world and the senses. The book is truly dreamlike, in that one dream may alter the way you look at life, while the next one will be about bass fishing with Julie Newmar in your underwear; fun perhaps, but not lasting.Calvino has a great talent, and a remarkable mind, but it's clear that he was bent on transgressing and ignoring boundaries, and hence often crosses the limits of his own skill. This uninhibited exploration is truly something every author and artists should aspire to, but the false leaps should be left behind in editing.As redundancy and vagueness builds up, we can see the areas of difficulty and obsession for Calvino, for these always end with a shrug instead of the final thrust that carries us over his more salient points. While in these cases he might have made the journey itself the important part, he tends to concentrate on the ends, even when he proves incapable of reaching them.Walking the same roads again and again looking for something and failing to find it is not the mark of the fantastical fabulist, but of the minute realist. Calvino's story is never small and personal, even when detailed and nostalgic, it is hyperbolic and magical.When he dances around some vague point, he is not Ariosto, presenting the limits of mankind: Calvino gives us his own limits. The descriptions are far-flung and often set the mind reeling with humor or more poignant observation. That he sometimes overextends himself is not such a crime, when occasionally, he does reach those heights.It's true to say that this book is not any one thing, that it defies description and draws from many sources and traditions, but neither do these varying and disparate influences coalesce into some wholly new vision. The closer he comes to any climax or conclusion, the more he grows uncertain.I'm not suggesting that such a climax is necessary--indeed, in a loosely-structured work like this, where the most effective aspect is the comparison and contradiction between each individual piece, shoehorning in such a convenient conclusion wouldn't really work--neither Petrarch nor Borges needed one. In their great collections, one could start almost anywhere, and end almost anywhere, without having lost the thread of their thoughts.What frustrates about Calvino is that he's constantly pushing towards conclusion, and harping on it despite the fact that such a conclusion is not even necessary--indeed, a work like this achieves its effect by the questions it asks, not the answers that it tries to give. So, Calvino ends up giving us numerous empty answers when simple silence would have been far more provocative.Is it ever really meaningful to end by stating 'maybe it is this way, maybe it is that way, maybe nothing exists at all'? What do we gain by saying this that we would not have by simply leaving it unsaid? The author who imagines stating that his own ignorance is profound is simply exercising the vanity of false humility.Better to let the observations and moments of wit speak for themselves. If the reader is not reminded of his own short-sightedness by these, then telling him he is short-sighted certainly won't help.I must say that these moments of falling flat could have been a subtlety of William Weaver's translation, but since such an issue is beyond my meager means to fully explore, I felt it better to tender my review to the book I read, rather than to the book that might exist out there, somewhere.",2009-03-17 05:34:54,3,en,2009-03-17 05:34:54,3,2009,0.0141,0.00014,0.00107,0.00022,0.00094,0.00039,909
Dan Schwent,"Marco Polo and Kublai Khan talk of cities Marco has visited.Where to begin with this one? I thought the writing was beautiful. Calvino and his translator painted vivid pictures of various cities, each a seemingly magical realm with its own quirks. As Marco tells more and more stories, Kublai questions the nature of his empire.Unfortunately, very little actually happens. While they are very well written, the individual city tales read almost like entries in a poet's travel journal. There's not really an actual story unless you consider an ongoing conversation between two historical figures a plot.While I'm glad I read it and I thought the writing was masterful, I don't feel like gushing about this particular book. Three out of five stars.",2015-03-09 08:12:15,3,en,2015-03-09 08:12:15,3,2015,0.00056,0.00013,0.00018,0.00013,0.00017,0.00015,122
Steven Godin,"Enchanting and majestically spellbinding, Calvino weaves us with descriptive beauty through the picturesque travels of Marco Polo who talks of wondrous cities to the imperial Kublai Khan. Less of a story and more an ordering and reordering of the emotional and philosophical reverberations of our civilized world, with an elegant poetic prose per chapter which resulted in 165 pages of pure imaginative bliss.",2016-03-28 22:44:31,5,en,2016-03-28 22:44:31,3,2016,0.0009,0.00011,0.00016,0.00012,0.00019,0.00016,63
Anu,"""What are men to rocks and mountains?""
 - Jane AustenOr should I say, ""What are men to cities and structures?""I finish Invisible Cities as my parents plan their trip to Europe. As someone who loves going to new places and travelling, there is a sense of irony that I feel as I review this. As a 21 year old student with neither the money nor the means to embark on a journey myself, I find myself wandering about the cities that Marco Polo describes to the great Kublai Khan. Invisible Cities is a fairy tale; albeit a fairy tale for adults. Calvino, who was surely high as a kite when he wrote this, describes in this tiny, yet profoundly powerful book, eleven kinds of ""cities"". Cities, they maybe, but they are the cities that we imagine. These are fantastical cities we lose ourselves in all day, everyday. These cities are not cities at all; they are the thoughts we think, the stories we imagine, and the people we think we perceive. Invisible Cities is an ethereal masterpiece that transports us to a world that we would like to see ourselves in, but would perhaps be disappointed to set foot in. It is that single moment of thought right before reality and dreams morph into one another. After all, 
  the descriptions of cities Marco Polo visited had this virtue: you could wander through them in thought, become lost, stop and enjoy the cool air, or run off.
To the people who say that all these cities sound the same, I give you the Great Khan's reasoning: 
  ""Kublai Khan had noticed that Marco Polo's cities resembled one another, as if the passage from one to another involved not a journey but a change of elements. Now, from each city Marco described to him, the Great Khan's mind set out on its own, and after dismantling the city piece by piece, he reconstructed it in other ways, substituting components, shifting them, inverting them.:
I don't think I can do justice to the masterpiece that is Invisible Cities by writing about it myself; I am unworthy. I have, instead collected quotes by some of the world's best writers, quotes that sum up what each of these cities were to me. Memory
  ""He who controls the past controls the future. He who controls the present controls the past.""
 - George OrwellDesire
  ""The world is little, people are little, human life is little. There is only one big thing — desire.
 - Willa CatherSigns
  ""Signs may be but the sympathies of nature with man.""
 - Charlotte BronteThin Cities
  ""Walkers are 'practitioners of the city,' for the city is made to be walked. A city is a language, a repository of possibilities, and walking is the act of speaking that language, of selecting from those possibilities. Just as language limits what can be said, architecture limits where one can walk, but the walker invents other ways to go.""
 - Rebecca SolnitTrading Cities
  ""Where there is commerce there is peace.""
 - Jeffrey TuckerEyes
  ""The soul, fortunately, has an interpreter - often an unconscious but still a faithful interpreter - in the eye.""
 - Charlotte BronteNames
  ""We seldom realize, for example that our most private thoughts and emotions are not actually our own. For we think in terms of languages and images which we did not invent, but which were given to us by our society.""
 - Alan W. WattsDead
  ""The life of the dead is set in the memory of the living.
 - Marcus Tullius CiceroSky
  ""The sky is everywhere, it begins at your feet.""
 - Jandy NelsonContinuous Cities
  ""You can checkout anytime you like, but you can never leave.""
 - The EaglesHidden Cities
  ""If you stay here, you become lost. And no one can find you. I like lost.""
 - Ally KondieAt the aftermath of my surreal reading experience, I realised that every city is one of memory and of desire, of signs and of eyes. Every city is a thin city, every city is a trading city. Every city belongs to the dead; every city rules the skies, and every city is hidden. Every city is defined by its name, and every city is continuous. Every city is all of these cities; it is what we make it to be, it is how we perceive it. Like Venice. 
  """"There is still one of which you never speak."" Marco Polo bowed his head. ""Venice,"" the Khan said. Marco smiled. ""What else do you believe I have been talking to you about?"" The emperor did not turn a hair. ""And yet I have never heard you mention that name."" And Polo said: ""Every time I describe a city I am saying something about Venice."" ""When I ask you about other cities, I want to hear about them. And about Venice, when I ask you about Venice.""""To distinguish the other cities' qualities, I must speak of a first city that remains implicit. For me it is Venice.""

  ""It has neither name nor place. I shall repeat the reason why I was describing it to you: from the number of imaginable cities we must exclude those whose elements are assembled without a connecting thread, an inner rule, a perspective, a discourse. With cities, it is as with dreams: everything imaginable can be dreamed, but even the most unexpected dream is a rebus that conceals a desire or, its reverse, a fear. Cities, like dreams, are made of desires and fears, even if the thread of their discourse is secret, their rules are absurd, their perspectives deceitful, and everything conceals something else.""",2016-02-06 14:43:06,5,en,2016-02-06 14:43:06,2,2016,0.00084,0.00011,0.00017,0.00012,0.00018,0.00015,947
