Document,Topic,Location,Topic_name
"Leaving there and proceeding for three days towards the east, you reach Diomira, a city with sixty silver domes, bronze statues of all the gods, streets paved with lead, a crystal theatre, a golden cock that crows each morning on a tower.",-1,1CITIES & MEMORY 1,Complexity
"All these beauties will already be familiar to the visitor, who has seen them also in other cities.",0,1CITIES & MEMORY 1,Opposite
"But the special quality of this city for the man who arrives there on a September evening, when the days are growing shorter and the multicoloured lamps are lighted all at once at the doors of the food stalls and from a terrace a woman's voice cries ooh!, is that he feels envy towards those who now believe they have once before lived an evening identical to this and who think they were happy, that time.",-1,1CITIES & MEMORY 1,Complexity
When a man rides a long time through wild regions he feels the desire for a city.,0,2CITIES & MEMORY 2,Opposite
"Finally he comes to Isidora, a city where the buildings have spiral staircases encrusted with spiral seashells, where perfect telescopes and violins are made, where the foreigner hesitating between two women always encounters a third, where cockfights degenerate into bloody brawls among the betters.",-1,2CITIES & MEMORY 2,Complexity
He was thinking of all these things when he desired a city.,0,2CITIES & MEMORY 2,Opposite
"Isidora, therefore, is the city of his dreams: with one difference.",4,2CITIES & MEMORY 2,Disater
The dreamed-of city contained him as a young man; he arrives at Isidora in his old age.,4,2CITIES & MEMORY 2,Disater
In the square there is the wall where the old men sit and watch the young go by; he is seated in a row with them.,-1,2CITIES & MEMORY 2,Complexity
Desires are already memories.,-1,2CITIES & MEMORY 2,Complexity
"There are two ways of describing the city of Dorothea: you can say that four aluminium towers rise from its walls flanking seven gates with spring-operated drawbridges that span the moat whose water feeds four green canals which cross the city, dividing it into nine quarters, each with three hundred houses and seven hundred chimneys.",-1,3CITIES & DESIRE 1,Complexity
"And bearing in mind that the nubile girls of each quarter marry youths of other quarters and their parents exchange the goods that each family holds in monopoly--bergamot, sturgeon roe, astrolabes, amethysts--you can then work from these facts until you learn everything you wish about the city in the past, present, and future.",0,3CITIES & DESIRE 1,Opposite
"Or else you can say, like the camel-driver who took me there: 'I arrived here in my first youth, one morning, many people were hurrying along the streets towards the market, the women had fine teeth and looked you straight in the eye, three soldiers on a platform played the trumpet, and all around wheels turned and coloured banners fluttered in the wind.",-1,3CITIES & DESIRE 1,Complexity
Before then I had known only the desert and the caravan routes.,-1,3CITIES & DESIRE 1,Complexity
"In the years that followed, my eyes returned to contemplate the desert expanses and the caravan routes; but now I know this path is only one of the many that opened before me on that morning in Dorothea.'",-1,3CITIES & DESIRE 1,Complexity
"In vain, great-hearted Kublai, shall I attempt to describe Zaira, city of high bastions.",-1,4CITIES & MEMORY 3,Complexity
"I could tell you how many steps make up the streets rising like stairways, and the degree of the arcades' curves, and what kind of zinc scales cover the roofs; but I already know this would be the same as telling you nothing.",0,4CITIES & MEMORY 3,Opposite
"The city does not consist of this, but of relationships between the measurements of its space and the events of its past: the height of a lamppost and the distance from the ground of a hanged usurper's swaying feet; the line strung from the lamppost to the railing opposite and the festoons that decorate the course of the queen's nuptial procession; the height of that railing and the leap of the adulterer who climbed over it at dawn; the tilt of a guttering and a cat's progress along it as he slips into the same window; the firing range of a gunboat which has suddenly appeared beyond the cape and the bomb that destroys the guttering; the rips in the fish net and the three old men seated on the dock mending nets and telling each other for the hundredth time the story of the gunboat of the usurper, who some say was the queen's illegitimate son, abandoned in his swaddling clothes there on the dock.",0,4CITIES & MEMORY 3,Opposite
"As this wave from memories flows in, the city soaks up like a sponge and expands.",0,4CITIES & MEMORY 3,Opposite
A description of Zaira as it is today should contain all Zaira's past.,4,4CITIES & MEMORY 3,Disater
"The city, however, does not tell its past, but contains it like the lines of a hand, written in the corners of the streets, the gratings of the windows, the banisters of the steps, the antennae of the lightning rods, the poles of the flags, every segment marked in turn with scratches, indentations, scrolls.",0,4CITIES & MEMORY 3,Opposite
"At the end of three days, moving southward, you come upon Anastasia, a city with concentric canals watering it and kites flying over it.",-1,5CITIES & DESIRE 2,Complexity
"I should now list the wares that can profitably be bought here : agate, onyx, chrysoprase, and other varieties of chalcedony: I should praise the flesh of the golden pheasant cooked here over fires of seasoned cherry wood and sprinkled with much sweet marjoram; and tell of the women I have seen bathing in the pool of a garden and who sometimes--it is said--invite the stranger to disrobe with them and chase them in the water.",-1,5CITIES & DESIRE 2,Complexity
"But with all this, I would not be telling you the city's true essence; for while the description of Anastasia awakens desires one at a time only to force you to stifle them, when you are in the heart of Anastasia one morning your desires waken all at once and surround you.",-1,5CITIES & DESIRE 2,Complexity
"The city appears to you as a whole where no desire is lost and of which you are a part, and since it enjoys everything you do not enjoy, you can do nothing but inhabit this desire and be content.",0,5CITIES & DESIRE 2,Opposite
"Such is the power, sometimes called malignant, sometimes benign, that Anastasia, the treacherous city, possesses; if for eight hours a day you work as a cutter of agate, onyx, chrysoprase, your labour which gives form to desire takes from desire its form, and you believe you are enjoying Anastasia wholly when you are only its slave.",-1,5CITIES & DESIRE 2,Complexity
You walk for days among trees and among stones.,1,6CITIES & SIGNS 1,topic_name
"Rarely does the eye light on a thing, and then only when it has recognized that thing as the sign of another thing: a print in the sand indicates the tiger's passage; a marsh announces a vein of water; the hibiscus flower, the end of winter.",-1,6CITIES & SIGNS 1,Complexity
All the rest is silent and interchangeable; trees and stones are only what they are.,-1,6CITIES & SIGNS 1,Complexity
Finally the journey leads to the city of Tamara.,-1,6CITIES & SIGNS 1,Complexity
You penetrate it along streets thick with signboards jutting from the walls.,0,6CITIES & SIGNS 1,Opposite
"The eye does not see things but images of things that mean other things: pincers point out the tooth-drawer's house; a tankard, the tavern; halberds, the barracks; scales, the grocer's.",1,6CITIES & SIGNS 1,topic_name
"Statues and shields depict lions, dolphins, towers, stars: a sign that something--who knows what?--has as its sign a lion or a dolphin or a tower or a star.",1,6CITIES & SIGNS 1,topic_name
"Other signals warn of what is forbidden in a given place (to enter the alley with wagons, to urinate behind the kiosk, to fish with your pole from the bridge) and what is allowed (watering zebras, playing bowls, burning relatives' corpses).",-1,6CITIES & SIGNS 1,Complexity
"From the doors of the temples the gods' statues are seen, each portrayed with his attributes--the cornucopia, the hourglass, the medusa--so that the worshipper can recognize them and address his prayers correctly.",-1,6CITIES & SIGNS 1,Complexity
"If a building has no signboard or figure, its very form and the position it occupies in the city's order suffice to indicate its function: the palace, the prison, the mint, the Pythagorean school, the brothel.",0,6CITIES & SIGNS 1,Opposite
"The wares, too, which the vendors display on their stalls are valuable not in themselves but as signs of other things: the embroidered headband stands for elegance; the gilded palanquin, power; the volumes of Averroes, learning; the ankle bracelet, voluptuousness.",-1,6CITIES & SIGNS 1,Complexity
"Your gaze scans the streets as if they were written pages: the city says everything you must think, makes you repeat her discourse, and while you believe you are visiting Tamara you are only recording the names with which she defines herself and all her parts.",-1,6CITIES & SIGNS 1,Complexity
"However the city may really be, beneath this thick coating of signs, whatever it may contain or conceal, you leave Tamara without having discovered it.",-1,6CITIES & SIGNS 1,Complexity
"Outside, the land stretches, empty, to the horizon; the sky opens, with speeding clouds.",-1,6CITIES & SIGNS 1,Complexity
"In the shape that chance and wind give the clouds, you are already intent on recognizing figures: a sailing ship, a hand, an elephant...",1,6CITIES & SIGNS 1,topic_name
"Beyond six rivers and three mountain ranges rises Zora, a city that no one, having seen it, can forget.",-1,7CITIES & MEMORY 4,Complexity
"But not because, like other memorable cities, it leaves an unusual image in your recollections.",0,7CITIES & MEMORY 4,Opposite
"Zora has the quality of remaining in your memory point by point, in its succession of streets, of houses along the streets, and of doors and windows in the houses, though nothing in them possesses a special beauty or rarity.",-1,7CITIES & MEMORY 4,Complexity
Zora's secret lies in the way your gaze runs over patterns following one another as in a musical score where not a note can be altered or displaced.,-1,7CITIES & MEMORY 4,Complexity
"The man who knows by heart how Zora is made, if he is unable to sleep at night, can imagine he is walking along the streets and he remembers the order by which the copper clock follows the barber's striped awning, then the fountain with the nine jets, the astronomer's glass tower, the melon vendor's kiosk, the statue of the hermit and the lion, the Turkish bath, the cafe at the corner, the alley that leads to the harbour.",-1,7CITIES & MEMORY 4,Complexity
"This city which cannot be expunged from the mind is like an armature, a honeycomb in whose cells each of us can place the things he wants to remember: names of famous men, virtues, numbers, vegetable and mineral classifications, dates of battles, constellations, parts of speech.",0,7CITIES & MEMORY 4,Opposite
"Between each idea and each point of the itinerary an affinity or a contrast can be established, serving as an immediate aid to memory.",-1,7CITIES & MEMORY 4,Complexity
So the world's most learned men are those who have memorized Zora.,-1,7CITIES & MEMORY 4,Complexity
"But in vain I set out to visit the city: forced to remain motionless and always the same, in order to be more easily remembered, Zora has languished, disintegrated, disappeared.",4,7CITIES & MEMORY 4,Disater
The earth has forgotten her.,-1,7CITIES & MEMORY 4,Complexity
Despina can be reached in two ways: by ship or by camel.,-1,8CITIES & DESIRE 3,Complexity
The city displays one face to the traveller arriving overland and a different one to him who arrives by sea.,0,8CITIES & DESIRE 3,Opposite
"When the camel-driver sees, at the horizon of the tableland, the pinnacles of the skyscrapers come into view, the radar antennae, the white and red windsocks flapping, the chimneys belching smoke, he thinks of a ship; he knows it is a city, but he thinks of it as a vessel that will take him away from the desert, a windjammer about to cast off, with the breeze already swelling the sails, not yet unfurled, or a steamboat with its boiler vibrating in the iron keel; and he thinks of all the ports, the foreign merchandise the cranes unload on the docks, the taverns where crews of different flags break bottles over one another's heads, the lighted, ground-floor windows, each with a woman combing her hair.",1,8CITIES & DESIRE 3,topic_name
"In the coastline's haze, the sailor discerns the form of a camel's withers, an embroidered saddle with glittering fringe between two spotted humps, advancing and swaying; he knows it is a city, but he thinks of it as a camel from whose pack hang wineskins and bags of candied fruit, date wine, tobacco leaves, and already he sees himself at the head of a long caravan taking him away from the desert of the sea, towards oases of fresh water in the palm trees' jagged shade, towards palaces of thick, whitewashed walls, tiled courts where girls are dancing barefoot, moving their arms, half-hidden by their veils, and half-revealed.",1,8CITIES & DESIRE 3,topic_name
"Each city receives its form from the desert it opposes; and so the camel-driver and the sailor see Despina, a border city between two deserts.",-1,8CITIES & DESIRE 3,Complexity
"Travellers return from the city of Zirma with distinct memories: a blind black man shouting in the crowd, a lunatic teetering on a skyscraper's cornice, a girl walking with a puma on a leash.",4,9CITIES & SIGNS 2,Disater
"Actually many of the blind men who tap their canes on Zirma's cobblestones are black; in every skyscraper there is someone going mad; all lunatics spend hours on cornices; there is no puma that some girl does not raise, as a whim.",4,9CITIES & SIGNS 2,Disater
The city is redundant: it repeats itself so that something will stick in the mind.,0,9CITIES & SIGNS 2,Opposite
"I too am returning from Zirma: my memory includes dirigibles flying in all directions, at window level; streets of shops where tattoos are drawn on sailors' skin; underground trains crammed with obese women suffering from the humidity.",4,9CITIES & SIGNS 2,Disater
"My travelling companions, on the other hand, swear they saw only one dirigible hovering among the city's spires, only one tattoo artist arranging needles and inks and pierced patterns on his bench, only one fat woman fanning herself on a train's platform.",-1,9CITIES & SIGNS 2,Complexity
Memory is redundant: it repeats signs so that the city can begin to exist.,0,9CITIES & SIGNS 2,Opposite
"Isaura, city of the thousand wells, is said to rise over a deep, subterranean lake.",-1,10THIN CITIES 1,Complexity
"On all sides, wherever the inhabitants dig long vertical holes in the ground, they succeed in drawing up water, as far as the city extends, and no farther.",-1,10THIN CITIES 1,Complexity
Its green border repeats the dark outline of the buried lake; an invisible landscape conditions the visible one; everything that moves in the sunlight is driven by the lapping wave enclosed beneath the rock's calcareous sky.,-1,10THIN CITIES 1,Complexity
Consequently two forms of religion exist in Isaura.,8,10THIN CITIES 1,Other
"The city's gods, according to some people, live in the depths, in the black lake that feeds the underground streams.",-1,10THIN CITIES 1,Complexity
"According to others, the gods live in the buckets that rise, suspended from a cable, as they appear over the edge of the wells, in the revolving pulleys, in the windlasses of the norias, in the pump handles, in the blades of the windmills that draw the water up from the drillings, in the trestles that support the twisting probes, in the reservoirs perched on stilts over the roofs, in the slender arches of the aqueducts, in all the columns of water, the vertical pipes, the plungers, the drains, all the way up to the weathercocks that surmount the airy scaffolding of Isaura, a city that moves entirely upwards.",8,10THIN CITIES 1,Other
"In Maurilia, the traveller is invited to visit the city and, at the same time, to examine some old postcards that show it as it used to be: the same identical square with a hen in the place of the bus station, a bandstand in the place of the overpass, two young ladies with white parasols in the place of the munitions factory.",-1,11CITIES & MEMORY 5,Complexity
"If the traveller does not wish to disappoint the inhabitants, he must praise the postcard city and prefer it to the present one, though he must be careful to contain his regret at the changes within definite limits: admitting that the magnificence and prosperity of the metropolis Maurilia, when compared to the old, provincial Maurilia, cannot compensate for a certain lost grace, which, however, can be appreciated only now in the old postcards, whereas before, when that provincial Maurilia was before one's eyes, one saw absolutely nothing graceful and would see it even less today, if Maurilia had remained unchanged; and in any case the metropolis has the added attraction that, through what it has become, one can look back with nostalgia at what it was.",-1,11CITIES & MEMORY 5,Complexity
"Beware of saying to them that sometimes different cities follow one another on the same site and under the same name, born and dying without knowing one another, without communication among themselves.",0,11CITIES & MEMORY 5,Opposite
"At times even the name of the inhabitants remain the same, and their voices' accent, and also the features of the faces; but the gods who live beneath names and above places have gone off without a word and outsiders have settled in their place.",-1,11CITIES & MEMORY 5,Complexity
"It is pointless to ask whether the new ones are better or worse than the old, since there is no connection between them, just as the old postcards do not depict Maurilia as it was, but a different city which, by chance, was called Maurilia, like this one.",-1,11CITIES & MEMORY 5,Complexity
"In the centre of Fedora, that grey stone metropolis, stands a metal building with a crystal globe in every room.",-1,12CITIES & DESIRE 4,Complexity
"Looking into each globe, you see a blue city, the model of a different Fedora.",-1,12CITIES & DESIRE 4,Complexity
"These are the forms the city could have taken if, for one reason or another, it had not become what we see today.",0,12CITIES & DESIRE 4,Opposite
"In every age someone, looking at Fedora as it was, imagined a way of making it the ideal city, but while he constructed his miniature model, Fedora was already no longer the same as before, and what had until yesterday a possible future became only a toy in a glass globe.",-1,12CITIES & DESIRE 4,Complexity
"The building with the globes is now Fedora's museum: every inhabitant visits it, chooses the city that corresponds to his desires, contemplates it, imagining his reflection in the medusa pond that would have collected the waters of the canal (if it had not been dried up), the view from the high canopied box along the avenue reserved for elephants (now banished from the city), the fun of sliding down the spiral, twisting minaret (which never found a pedestal from which to rise).",-1,12CITIES & DESIRE 4,Complexity
"On the map of your empire, O Great Khan, there must be room both for the big, stone Fedora and the little Fedoras in glass globes.",-1,12CITIES & DESIRE 4,Complexity
"Not because they are all equally real, but because all are only assumptions.",-1,12CITIES & DESIRE 4,Complexity
"The one contains what is accepted as necessary when it is not yet so; the others, what is imagined as possible and, a moment later, is possible no longer.",3,12CITIES & DESIRE 4,Gaze
"The man who is travelling and does not yet know the city awaiting him along his route wonders what the palace will be like, the barracks, the mill, the theatre, the bazaar.",-1,13CITIES & SIGNS 3,Complexity
"In every city of the empire every building is different and set in a different order: but as soon as the stranger arrives at the unknown city and his eye penetrates the pine cone of pagodas and garrets and haymows, following the scrawl of canals, gardens, rubbish heaps, he immediately distinguishes which are the princes' palaces, the high priests' temples, the tavern, the prison, the slum.",-1,13CITIES & SIGNS 3,Complexity
"This--some say--confirms the hypothesis that each man bears in his mind a city made only of differences, a city without figures and without form, and the individual cities fill it up.",0,13CITIES & SIGNS 3,Opposite
This is not true of Zoe.,-1,13CITIES & SIGNS 3,Complexity
"In every point of this city you can, in turn, sleep, make tools, cook, accumulate gold, disrobe, reign, sell, question oracles.",0,13CITIES & SIGNS 3,Opposite
Any one of its pyramid roofs could cover the leprosarium or the odalisques' baths.,8,13CITIES & SIGNS 3,Other
"The traveller roams all around and has nothing but doubts: he is unable to distinguish the features of the city, the features he keeps distinct in his mind also mingle.",-1,13CITIES & SIGNS 3,Complexity
"He infers this: if existence in all its moments is all of itself, Zoe is the place of indivisible existence.",-1,13CITIES & SIGNS 3,Complexity
"But why, then, does the city exist?",0,13CITIES & SIGNS 3,Opposite
"What line separates the inside from the outside, the rumble of wheels from the howl of wolves?",1,13CITIES & SIGNS 3,topic_name
"Now I shall tell of the city of Zenobia, which is wonderful in this fashion: though set on dry terrain it stands on high pilings, and the houses are of bamboo and zinc, many platforms and balconies placed on stilts at various heights, crossing one another, linked by ladders and hanging sidewalks, surmounted by cone-roofed belvederes, barrels storing water, weather-vanes, jutting pulleys, and fish poles, and cranes.",-1,14THIN CITIES 2,Complexity
"No one remembers what need or command or desire drove Zenobia's founders to give their city this form, and so there is no telling whether it was satisfied by the city as we see it today, which has perhaps grown through successive superimpositions from the first, now undecipherable plan.",-1,14THIN CITIES 2,Complexity
"But what is certain is that if you ask an inhabitant of Zenobia to describe his vision of a happy life, it is always a city like Zenobia that he imagines, with its pilings and its suspended stairways, a Zenobia perhaps quite different, a-flutter with banners and ribbons, but always derived by combining elements of that first model.",-1,14THIN CITIES 2,Complexity
"This said, it is pointless trying to decide whether Zenobia is to be classified among happy cities or among the unhappy.",-1,14THIN CITIES 2,Complexity
"It makes no sense to divide cities into these two species, but rather into another two: those that through the years and the changes continue to give their form to desires, and those in which desires either erase the city or are erased by it.",0,14THIN CITIES 2,Opposite
"Proceeding eighty miles into the northwest wind, you reach the city of Euphemia, where the merchants of seven nations gather at every solstice and equinox.",-1,15TRADING CITIES 1,Complexity
"The boat that lands there with a cargo of ginger and cotton will set sail again, its hold filled with pistachio nuts and poppy seeds, and the caravan that has just unloaded sacks of nutmegs and raisins is already cramming its saddlebags with bolts of golden muslin for the return journey.",1,15TRADING CITIES 1,topic_name
"But what drives men to travel up rivers and cross deserts to come here is not only the exchange of wares, which you could find, everywhere the same, in all the bazaars inside and outside the Great Khan's empire, scattered at your feet on the same yellow mats, in the shade of the same awnings protecting them from the flies, offered with the same lying reduction in prices.",-1,15TRADING CITIES 1,Complexity
"You do not come to Euphemia only to buy and sell, but also because at night, by the fires all around the market, seated on sacks or barrels or stretched out on piles of carpets, at each word that one man says--such as 'wolf,' 'sister,' 'hidden treasure,' 'battle,' 'scabies,' 'lovers'--the others tell, each one, his tale of wolves, sisters, treasures, scabies, lovers, battles.",-1,15TRADING CITIES 1,Complexity
"And you know that in the long journey ahead of you, when to keep awake against the camel's swaying or the junk's rocking, you start summoning up your memories one by one, your wolf will have become another wolf, your sister a different sister, your battle other battles, on your return from Euphemia, the city where memory is traded at every solstice and at every equinox.",-1,15TRADING CITIES 1,Complexity
"From there, after six days and seven nights, you arrive at Zobeide, the white city, well exposed to the moon, with streets wound about themselves as in a skein.",4,16CITIES & DESIRE 5,Disater
They tell this tale of its foundation: men of various nations had an identical dream.,4,16CITIES & DESIRE 5,Disater
"They saw a woman running at night through an unknown city; she was seen from behind, with long hair, and she was naked.",4,16CITIES & DESIRE 5,Disater
They dreamed of pursuing her.,4,16CITIES & DESIRE 5,Disater
"As they twisted and turned, each of them lost her.",1,16CITIES & DESIRE 5,topic_name
After the dream they set out in search of that city; they never found it.,4,16CITIES & DESIRE 5,Disater
but they found one another; they decided to build a city like the one in the dream.,4,16CITIES & DESIRE 5,Disater
"In laying out the streets, each followed the course of his pursuit; at the spot where they had lost the fugitive's trail, they arranged spaces and walls differently from the dream, so she would be unable to escape again.",4,16CITIES & DESIRE 5,Disater
"This was the city of Zobeide, where they settled, waiting for that scene to be repeated one night.",4,16CITIES & DESIRE 5,Disater
"None of them, asleep or awake, ever saw the woman again.",1,16CITIES & DESIRE 5,topic_name
"The city's streets were streets where they went to work every day, with no link any more to the dreamed chase.",4,16CITIES & DESIRE 5,Disater
"Which, for that matter, had long been forgotten.",-1,16CITIES & DESIRE 5,Complexity
"New men arrived from other lands, having had a dream like theirs, and in the city of Zobeide, they recognized something of the streets of the dream, and they changed the positions of arcades and stairways to resemble more closely the path of the pursued woman and so, at the spot where she had vanished, there would remain, no avenue of escape.",4,16CITIES & DESIRE 5,Disater
"The first to arrive could not understand what drew these people to Zobeide, this ugly city, this trap.",4,16CITIES & DESIRE 5,Disater
"Of all the changes of language a traveller in distant lands must face, none equals that which awaits him in the city of Hypatia, because the change regards not words, but things.",-1,17CITIES & SIGNS 4,Complexity
"I entered Hypatia one morning, a magnolia garden was reflected in blue lagoons, I walked among the hedges, sure I would discover young and beautiful ladies bathing; but at the bottom of the water, crabs were biting the eyes of the suicides, stones tied round their necks, their hair green with seaweed.",-1,17CITIES & SIGNS 4,Complexity
I felt cheated and I decided to demand justice of the sultan.,3,17CITIES & SIGNS 4,Gaze
