chapter,sentences,words,minute,aoa_total,v_vaild,v_total,a_vaild,a_total,d_vaild,d_total,V_mean,A_mean,D_mean,category,anger,disgust,fear,joy,neutral,sadness,surprise
1CITIES & MEMORY 1,3.00 ,137.00 ,1.14 ,653.50 ,63.00 ,379.64 ,63.00 ,240.38 ,63.00 ,353.48 ,6.03 ,3.82 ,5.61 ,1CITIES & MEMORY,0.12 ,0.109 ,0.102 ,0.054 ,0.416 ,0.068 ,0.133 
2CITIES & MEMORY 2,7.00 ,131.00 ,1.09 ,668.84 ,62.00 ,356.67 ,62.00 ,254.44 ,62.00 ,334.35 ,5.75 ,4.10 ,5.39 ,1CITIES & MEMORY,0.12 ,0.103 ,0.093 ,0.015 ,0.594 ,0.019 ,0.054 
3CITIES & DESIRE 1,5.00 ,225.00 ,1.88 ,1146.66 ,110.00 ,654.49 ,110.00 ,434.56 ,110.00 ,623.10 ,5.95 ,3.95 ,5.66 ,2CITIES & DESIRE,0.08 ,0.014 ,0.244 ,0.008 ,0.591 ,0.008 ,0.057 
4CITIES & MEMORY 3,6.00 ,311.00 ,2.59 ,1602.36 ,122.00 ,671.39 ,122.00 ,476.51 ,122.00 ,659.92 ,5.50 ,3.91 ,5.41 ,1CITIES & MEMORY,0.03 ,0.037 ,0.012 ,0.009 ,0.673 ,0.168 ,0.068 
5CITIES & DESIRE 2,5.00 ,252.00 ,2.10 ,1247.42 ,98.00 ,585.51 ,98.00 ,409.23 ,98.00 ,557.67 ,5.97 ,4.18 ,5.69 ,2CITIES & DESIRE,0.11 ,0.046 ,0.159 ,0.379 ,0.208 ,0.013 ,0.082 
6CITIES & SIGNS 1,15.00 ,420.00 ,3.50 ,2139.40 ,188.00 ,1073.29 ,188.00 ,711.06 ,188.00 ,1053.71 ,5.71 ,3.78 ,5.60 ,3CITIES & SIGNS,0.05 ,0.125 ,0.091 ,0.059 ,0.559 ,0.056 ,0.056 
7CITIES & MEMORY 4,10.00 ,304.00 ,2.53 ,1526.01 ,147.00 ,853.74 ,147.00 ,574.96 ,147.00 ,829.24 ,5.81 ,3.91 ,5.64 ,1CITIES & MEMORY,0.02 ,0.039 ,0.100 ,0.007 ,0.630 ,0.116 ,0.091 
8CITIES & DESIRE 3,5.00 ,293.00 ,2.44 ,1503.36 ,139.00 ,800.14 ,139.00 ,535.95 ,139.00 ,768.56 ,5.76 ,3.86 ,5.53 ,2CITIES & DESIRE,0.06 ,0.188 ,0.074 ,0.007 ,0.600 ,0.013 ,0.062 
9CITIES & SIGNS 2,6.00 ,188.00 ,1.57 ,986.21 ,92.00 ,507.95 ,92.00 ,367.32 ,92.00 ,502.67 ,5.52 ,3.99 ,5.46 ,3CITIES & SIGNS,0.03 ,0.179 ,0.169 ,0.004 ,0.568 ,0.011 ,0.044 
10THIN CITIES 1,6.00 ,218.00 ,1.82 ,1133.94 ,87.00 ,495.38 ,87.00 ,340.70 ,87.00 ,480.26 ,5.69 ,3.92 ,5.52 ,4THIN CITIES,0.04 ,0.094 ,0.148 ,0.007 ,0.519 ,0.086 ,0.106 
11CITIES & MEMORY 5,5.00 ,316.00 ,2.63 ,1631.30 ,141.00 ,803.27 ,141.00 ,545.42 ,141.00 ,790.03 ,5.70 ,3.87 ,5.60 ,1CITIES & MEMORY,0.02 ,0.262 ,0.134 ,0.093 ,0.379 ,0.078 ,0.032 
12CITIES & DESIRE 4,8.00 ,260.00 ,2.17 ,1240.89 ,108.00 ,648.17 ,108.00 ,409.41 ,108.00 ,620.16 ,6.00 ,3.79 ,5.74 ,2CITIES & DESIRE,0.02 ,0.089 ,0.020 ,0.022 ,0.747 ,0.025 ,0.073 
13CITIES & SIGNS 3,10.00 ,248.00 ,2.07 ,1353.88 ,112.00 ,637.02 ,112.00 ,453.21 ,112.00 ,622.63 ,5.69 ,4.05 ,5.56 ,3CITIES & SIGNS,0.06 ,0.153 ,0.092 ,0.003 ,0.511 ,0.018 ,0.164 
14THIN CITIES 2,5.00 ,241.00 ,2.01 ,1295.95 ,106.00 ,626.95 ,106.00 ,418.64 ,106.00 ,603.17 ,5.91 ,3.95 ,5.69 ,4THIN CITIES,0.02 ,0.029 ,0.007 ,0.130 ,0.606 ,0.183 ,0.025 
15TRADING CITIES 1,5.00 ,280.00 ,2.33 ,1381.05 ,117.00 ,675.73 ,117.00 ,469.78 ,117.00 ,656.37 ,5.78 ,4.02 ,5.61 ,5TRADING CITIES,0.02 ,0.014 ,0.212 ,0.020 ,0.699 ,0.010 ,0.027 
16CITIES & DESIRE 5,14.00 ,293.00 ,2.44 ,1408.07 ,127.00 ,736.57 ,127.00 ,508.28 ,127.00 ,698.56 ,5.80 ,4.00 ,5.50 ,2CITIES & DESIRE,0.06 ,0.136 ,0.140 ,0.018 ,0.493 ,0.077 ,0.071 
17CITIES & SIGNS 4,20.00 ,456.00 ,3.80 ,2274.43 ,216.00 ,1226.46 ,216.00 ,844.58 ,216.00 ,1212.66 ,5.68 ,3.91 ,5.61 ,3CITIES & SIGNS,0.04 ,0.161 ,0.164 ,0.028 ,0.362 ,0.137 ,0.111 
18THIN CITIES 3,12.00 ,332.00 ,2.77 ,1701.70 ,154.00 ,905.42 ,154.00 ,612.65 ,154.00 ,868.15 ,5.88 ,3.98 ,5.64 ,4THIN CITIES,0.07 ,0.147 ,0.016 ,0.082 ,0.463 ,0.169 ,0.055 
19TRADING CITIES 2,10.00 ,273.00 ,2.28 ,1403.26 ,136.00 ,789.91 ,136.00 ,558.67 ,136.00 ,750.74 ,5.81 ,4.11 ,5.52 ,5TRADING CITIES,0.06 ,0.273 ,0.175 ,0.029 ,0.297 ,0.018 ,0.145 
