name,review,time,rating
Dolors,"Theories.One could easily declare that the protagonists of this book are the cities, which are different versions of the same city that doesn’t really exist, only maybe in the writer’s mind. Either Venice or Paris, Calvino’s cities are a trip through imagination to lives never had, doors never opened, people never met.Someone else might appoint the reader as the real protagonist of Calvino’s book for he becomes the traveler who visits these cities mentally, which are nothing else than representations of his current mood, his past experiences and his unverbalized longings. The cities change shape and adapt to the traveler’s desires, they blend together into that tenuous moment between sleep and waking, the split second when dreaming occurs.The interpretation of a third reader might allude to the allegoric meaning of the interludes between the extravagant descriptions of the cities where Marco Polo proves the deceitful nature of language to the Chinese Emperor Kublai Khan through silent gesticulation. The Venetian merchant smuggles moods, states of grace and elegies instead of material riches, maybe as a metaphor to show the Chinese ruler that conquering cities is like accumulating empty shells, a nothingness that lacks cohesion, for their true wealth is to be found in their people, not in the physical space they inhabit. How does one imprison souls?Free style.Truth is I am unable to tell you what this book is about. It’s certainly not about what I wrote above. But maybe it is. Every reader will discover its meaning in the surrealistic patterns of titles and alternating themes that give shape to an unrepeatable skyline, a personal print that will only fit the soul of each traveler.To me, Calvino’s cities represent the deadlock between dreams and reality and the way we connect them in our minds to dominate the pulse of time. Unsought memories carry the heavy load of past experiences, and that burden of nostalgia opens the door to unfulfilled desires that materialize into the tangible futures we will never own. How many lives can the keen observer recreate in his mind? How many times can we alter the past in mental recreation, bring the dead back to life by thinking of them? But remembering doesn’t come face forward, it ambushes you around sideways and oftentimes traps you in a deadly embrace, and the reflected image may replace the original thought. In the end, amidst a labyrinthine maze of canals, ancient Gods of locals and foreigners clinging to the threshold of upside down doors and black-and-white strings attaching relationships between the inhabitants of a spider-web city, I couldn’t resist the allure of Maurilia. This was the city where I could finally put my discombobulated mind at rest. The comfortable safety of its sepia postcards brought me back to the cozy evenings with granny when I had only to concentrate on the invisible map her bonny fingers scratched gently on my back after a tepid day at school. Calvino led me to here and now to type these words that make her precious presence more real than ever. I can even delineate the shape of the sound of her fluttering voice clearly in my head. Hello, Granny. Thank you, Calvino.",2013-06-08 16:31:44,5
Henry Avila,"This a litany of cities (55) obviously fictitious, exquisitely described by Marco Polo to the great Mongol emperor Kublai Khan... he is understandably dubious. Imagination flows gently through the words of Marco Polo at the grand royal palace in Beijing, towns nobody seen let alone accept. The renowned traveler enjoys visiting new places some very beautifully chronicled by him these settlements but with a touch of creativity which the mind cannot fathomed, yet amaze, city after city, superb even those floating in the air unreachable to all, others underground the citizens in them oblivious to the rest of the world, those looking up feel jealous the mystery unexplained, walls impregnable, roads which take you away from the towns but never to them, sea ports, inland isolated metropolises alone in the vast deserts, they glitter in the sunshine and fade at night. Strangely though the great khan notices no mention of Venice...You would think the continuous page after page of rather unbelievable cities would get monotonous but this is incorrect, as such allure is never boring. The architecture so fantastic it could not exist on the Earth only in the bottomless mind. People like to hope in something they know is impossible their run- of- the - mill lives are unexciting, needing to be charmed, stimulated, dream about what's over the other side of the hill. This will always be true the stories that take them from the humdrum to the heights are perpetual in fashion, humans strive to arrive in a land of the riddle and try solving the enigma, may this be forever. The author of the book Italo Calvino Cuban born with Italian parents , an unique magnificent writer of the visual who lived in Italy. Both a journalist, short story writer and novelist he engaged in, becoming a master of fantasy as shown here and rich, famous, few could capture its essence better. For the person who wants to escape reality and spend a little time in the what could be, imagination is another way to live at least for a short while...Isn't that enough?",2019-11-10 10:52:56,4
John Mauro,"My review of Invisible Cities is published at Before We Go Blog.“Cities, like dreams, are made of desires and fears, even if the thread of their discourse is secret, their rules are absurd, their perspectives deceitful, and everything conceals something else.”Invisible Cities is a tour de force from Italo Calvino, the late Italian master of speculative fiction. This uniquely constructed novel is set in the late thirteenth century in the court of Kublai Khan. The Venetian explorer, Marco Polo, captivates the Tartar Emperor with descriptions of the cities from his unprecedented travels. By this time, the Mongol Empire has grown to be the largest that the world has ever seen. In the future, it will be eclipsed only by the British Empire in terms of the land area under its control.The Empire has grown so large that the Great Khan feels like he doesn’t even know his own lands. He only learns about the far-flung cities in and beyond his Empire through the stories of travelers, and the well-traveled and poetically tongued Marco Polo is the greatest explorer and storyteller of them all.Marco Polo tells Kublai Khan of wondrous and beautiful cities, cities of passion and desire, cities of memory, cities of light and the sky, trading cities, cities of signs, hidden cities, cities of the dead. The Great Khan is captivated by Marco Polo’s poetic descriptions throughout Invisible Cities.While Marco Polo introduces each city by a different name, it soon becomes apparent that the descriptions are actually different facets of a single city: his beloved hometown of Venice. In this sense, Invisible Cities becomes Italo Calvino’s love letter to Venice.But the scope is much broader than we think. It’s true that each description is a different aspect of Venice. But in Invisible Cities, Marco Polo is really describing all cities the world has ever seen or ever will see. He is describing ancient cities like Babylon, future cities like Los Angeles, and even mythical cities like Atlantis or Utopia. He is describing the universe of all possible cities that could ever exist, now, in the past, in the future, or in some alternate reality.It is hard for me to describe the beauty and nuance of Invisible Cities. Just as Marco Polo describes his hometown in this work, as a reader you will find him describing yours as well. Italo Calvino will lead you to discover new and beautiful facets of urbanity in your own surroundings.",2021-11-19 18:37:57,5
Michael Finocchiaro,"This is my favourite Calvino book and the one I always suggest to friends to ask me for an interesting easy read or a start into Calvino's universe. It is hard to write a long review here without giving away the entire story but suffice it to say that it is poetic prose at its best. In a nutshell, Marco Polo describes to Kublai Khan the various cities he has been to before his visit to China between 1271 and 1275 CE. Each description is more fanciful and beautiful than the previous and there is a spectacular poetic dénouement.The nearest equivalent in graphic novels for me would be the many melancholy works of Schuitten in Les Cités Obscures series. A total classic and must read.",2016-09-17 18:55:06,5
فؤاد,"من و شيرازخوب يادم است كه وقتى چهارده پانزده ساله بودم، در خيالاتم شيراز را شهرى تصور مى كردم با ساختمان هاى قديمى، با ايوان هاى كاشيكارى شده، و مخصوصاً با درخت هايى در هر خيابان كه در بهار گلبرگ هايشان با هر باد مى ريزد ميان خيابان و فرش راه عابران مى شود (بعدها اين صحنه را در باغ هاى بادام قزوين تجربه كردم). تصورى كه فكر مى كنم غربى ها تا پنجاه سال پيش از شرق داشتند. و خوب يادم است كه وقتى در همان سال ها به شيراز سفر كردم، چقدر سرخورده شدم از خيابان هاى معمولى، با ساختمان هاى معمولى، با درخت هاى معمولى. اين جا چراغ راهنماست كه هزارتايش را در هر شهرى ديده ام، اين جا ديوارها را پر كرده اند از پوسترهاى انتخاباتى همان طور كه در شهر خودمان هم مى كنند، اين جا شهردارى ميدان را حصار فلزى كشيده و كارهاى ساختمانى مى كند، با ماسه و سيمان و ماشين هاى ساختمان، انگار نه انگار كه اين خيابان و اين ميدان و اين شهر هفتصد سال قبل در كنار شاه شجاع و سعد بن ابوبكر زنگى و ساقى سيمين بر، موضوع غزل هاى حافظ و سعدى بوده.آن زمان با خودم فكر كردم: ببين چطور مدرن سازى دست و پا شكسته شرقى، مانند آن زاغ و كبك معروف، هر چه شرقى بوده را از دست داده و در مقابل حتى شبيه به غرب هم نشده. و نوستالژى سال هاى دوردست به جانم افتاد، و تا مدت ها رهايم نكرد. فكر مى كردم مشكل از مدرن سازى است، وگرنه شيراز ماقبل مدرن سازى حتماً شهرى از جنس رؤيا و اثير بوده. و از يك تصور اشتباه به يك تصور اشتباه ديگر افتادم.لازم بود مدت ها بگذرد و راجع به شكل و شمايل سال هاى دوردست ايران كمى بخوانم تا متوجه شوم يك شهر همان احساسى نيست كه از شنيدن نامش به ما دست مى دهد. يك شهر آن ايده اى نيست كه با حذف آجرها و آسفالت ها و كيسه هاى سيمان شهردارى و چراغ هاى راهنما، باقى مى ماند. اين ايده، اين احساس، جايش در ذهن ماست، به شهر معنى مى دهد، اما شهر اين معنى نيست. اشتباه است اگر فكر كنيم زمانى در قديم بوده كه شهر فقط و فقط از جنس ايده و رؤيا بوده، بدون هيچ پوستر انتخاباتى اى، يا چراغ راهنمايى، يا ماشين هاى ساختمانى اى. شهر يك كل نيست، شهر هيچ چيز نيست، تنها چيزى كه وجود دارد خانه ها و خيابان ها و آدم ها هستند.كمى هم راجع به كتابكتاب بى نظير است. مثل يك رؤياى مكتوب است. ماركوپولو در قصر قوبلاى خان در چين، ماجراى شهرهاى غريبى كه ديده است را بازگو مى كند. كتاب مجموعه ايست از اين گزارش هاى كوتاه راجع به شهرهاى مختلف. هر شهر يك ايده جادويى يا فلسفى-مانند دارد، گاهى راجع به معمارى شهر، گاهى راجع به رسوم شهر، و... ايده هايى كه هم آدم را به فكر مى برد، و هم به ذوق مى آورد.نقاشى بيشتر شهرهاى كتاب روى اينترنت هست. سر هر شهر فورى مى رفتم سرچ مى كردم و نقاشى ها را تماشا مى كردم و اين لذت كتاب را مضاعف مى كرد. این وسط یک نقاش خوب هم کشف کردم، به اسم ژرار ترینیاک*، که دو تا از نقاشی هایش را بالا گذاشتم.* Gerard Trignac",2018-02-02 09:26:53,4
Alex,"I live in a city, and every day I ride the subway with people who live in different cities. Aggressively loud teenagers, exhausted laborers with grimy hands, sparkling skinny women in careful clothes, Michael Cera: I don't think they would recognize my city.But we find our city, and our city finds us, right? The Flamethrowers' artist Reno moves to a New York full of artists madly creating. Patrick Bateman is fake, and he lives in a fake New York. The Street's Lutie lives in a cruel New York, and she becomes cruel. The city invents us, and we invent the city. I play a game when I travel to other cities: what makes this city special? In Barcelona you think of Gaudi, but that's like identifying a guy by his hat. It can be useful, don't get me wrong, and he's wearing that hat for a reason, but underneath he is mostly the same organs. Is he nice? As a tourist, I see a lot of hats.Some cities are legitimately different. Worcester, Mass is legitimately shitty. Las Vegas really is your dangerously bipolar cousin. Cities are uniquely mutable, because they have to be. It takes all kinds of people to make a city, so it has to suit all kinds of people. When you ask someone to describe their city, you're asking them how they see the world, and how the world sees them. I saw a dude throw a chicken bone on the subway floor the other day: his world has been ugly to him, full of negative interactions and ugly things. It's all trash. (I didn't actually ask, I just projected a bunch of shit on him.)My New York is a utopia. Everyone has a weird hobby and a rescued pit bull, and there are wine tastings on every corner. I'm lucky.I've been reading Invisible Cities on the subway, a chapter each way, looking around me and thinking, ""Do I see anyone who lives in this city? The city of threads? The city of mirrors?"" I imagine they're looking back and thinking, ""If that bald guy keeps staring at me I'm going to punch him."" My dog rides the subway with me. I can't imagine what city he lives in.What's your city like? Seriously, I'm interested.",2015-03-25 22:07:31,5
Seemita,"You landed in my world on a calm, dewy eveningAnd struck was I with a song I was about to sing;A song that lay hidden in the silhouettes of each letterThat protruded from the cover, all poised to embitter.But waited I, patiently, under the light of the mundane day;You see, Mr. Calvino, I had a knack of seeing your way.Fusing the curious with the depth, and peppering them with some humor too;All too often, you had served, a world that was both fictional and true.So, on a fine evening, when all your cities rose, at once, to a noisy chatter,I exited my world and entered yours, as it was now, an urgent matter.Welcome!, said Kublai Khan, The Imperious Chinese Emperor,Even as he kept his gaze fixed at one particular Conjurer.This particular Conjurer bore remote resemblance to the mighty Apollo;Ah! He had his name! ‘Step in.’, said the Venetian, Marco Polo.And so, with his highness Khan, I embarked on a tour of his empire,Ably recounted for us, through the dazzling eyes of his humble sire. While Isidora dyed me old even as my dreams kept fluttering in their youthful room,Anastasia set my desires and memories in a vicious cycle, not knowing who fuels whom;Zora pumped heavy sighs from the womb of forgotten cities,As Mauralia lulled me into a nostalgic film of small felicities.Said Marco Polo, all cities are same – same in desire and dementia, promise and insipidity, joy and remorse,
  “You take delight not in a city’s seven or seventy wonders, but in the answer it gives to a question of yours.”
I paused to ponder, questioning him aloud about the revelations he just made,But he continued to lead me into more cities, bustling with myths, death and trade.He played with my biases at Baucis where people resided on clouds instead,He suspended my belief in Octavia where the entire city stood running on a net! Hopping Hypatia, Armilla, Beershaba and Leonia, when I stepped into Thekla,Marco Polo held back my hand, ‘Watch out, work is still on this messy land.’
  ”Why the construction is still on?
 I asked a peddler scurrying by,
  “So that its destruction cannot begin.”
 was his curt reply.Walking gingerly in an air of puzzle, I witnessed Olinda and Procopia in a mild jostle,One seemed to hold many cities in her womb and the other kept multiplying her people.I stood there, letting the horses of my thoughts, to run amok these many cities,To gauge what lied beneath this expedition, this mind-boggling imaginative treatise.I opened my mouth to ask but Mr. Calvino, you appeared from nowhere,‘The tour is over!’ is all you said, not paying heed to my nasty stare.Here I am now, jumbling my geography and history, and a bit of memory as wellAnd filling mighty gaps that can serve as a decent rejoinder, I have this to tell - Essential is not the fact whether these cities can be discovered on a map;The essence lies, instead, in hunting for a common stamp.A common stamp that shall impart an identity free of colour and creed,Irrespective of our place of birth, shall bind us with the same deed.Deed bellowing swirls of compassion, industry and honesty sans any chagrin And a city of such deeds doesn’t lie outside but reigns unequivocally within.Trust Mr. Calvino to show you, how subliminal accounting of life appears,Follow Mr. Calvino to receive in your lap, sparkling wishes to last years.Beware of his trap though! Don’t fall for his genius all too much,Oh but this is futile warning, for there is no way to escape his touch.----The tour snippet is here! 
  “The inferno of the living is not something that will be; if there is one, it what is already here, the inferno where we live every day, that we form by being together. There are two ways to escape suffering it. The first is easy for many; accept the inferno and be such a part of it that you can no longer see it. The second is risky and demands constant vigilance and apprehension: seek and learn to recognize who and what, in the midst of the inferno, are not inferno, then make them endure, give them space.”
Because in my book, both are paragons of imagination.>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>",2017-08-23 15:35:58,5
Luís,"Marco Polo dialogues with Kublai Khan, telling him how he feels about the imaginary cities he has visited. Each small chapter composes them: towns and memory, cities and desire, tapered cities, cities and gaze, and cities and the dead, with a few variations. I believe that to appreciate this text better, it would be necessary to provide a decoder. Unfortunately, I had not transported as I had hoped; he slightly annoyed me.",2020-06-25 00:28:38,2
J.G. Keely,"In writing, pretension is the act of pulling your hamstring while lifting your pen. It is that sudden, clear, and unfortunate. It should also be avoidable, but anyone gifted with a grain of brilliance is tempted to extend it as far as they can, like Donne's speck of dust stretched the length of the universe, one is left wondering whether it was more ludicrous or thought-provoking.Calvino's 'Invisible Cities' is a series of descriptions of mythical, impossible cities told by Marco Polo to Kublai Khan. Each short description is like one of Donne's metaphysical poems: presenting a philosophical argument or idea and then turning it on its head. As an Italian, Calvino drew his inspiration from the same source as Donne: Francesco Petrarch.Petrarch is the innovator of the modern sonnet, the modern love poem, and 'confessional' poetry. However, before you all wish him dead(er), his 'love' and 'confessions' were only the cover for his philosophical explorations. Like Sidney, Shakespeare, Wyatt, and the Victorian poets (Keats, Browning, Byron), the surface of the poem is not the whole story.Also like Petrarch, Calvino's short pieces all work together to create a grander story, using repetition and developing symbols to create webs of meaning from one story to any other. Both Petrarch and Calvino take a narrow view for their collections, one Love and the other Cities, but Petrarch does more with his.Calvino's repetition is sometimes interesting and meaningful, but often, it seems like he's still trying to hash out his ideas. Some of the cities are remarkable and poignant, but others somewhat scattered and redundant.The frame story of Polo and Kublai also vacillates in profundity. At it's best, it questions the nature of human relationships, interaction, understanding, and language barriers. At other times it descends into New Age metaphysics and solipsism: endlessly wondrous, endlessly pointless, and perfect for capturing the imagination of the first-year philosophy major.These moments of overextension are balanced by some truly thought-provoking and delightful observations and questions about the nature of the world and the senses. The book is truly dreamlike, in that one dream may alter the way you look at life, while the next one will be about bass fishing with Julie Newmar in your underwear; fun perhaps, but not lasting.Calvino has a great talent, and a remarkable mind, but it's clear that he was bent on transgressing and ignoring boundaries, and hence often crosses the limits of his own skill. This uninhibited exploration is truly something every author and artists should aspire to, but the false leaps should be left behind in editing.As redundancy and vagueness builds up, we can see the areas of difficulty and obsession for Calvino, for these always end with a shrug instead of the final thrust that carries us over his more salient points. While in these cases he might have made the journey itself the important part, he tends to concentrate on the ends, even when he proves incapable of reaching them.Walking the same roads again and again looking for something and failing to find it is not the mark of the fantastical fabulist, but of the minute realist. Calvino's story is never small and personal, even when detailed and nostalgic, it is hyperbolic and magical.When he dances around some vague point, he is not Ariosto, presenting the limits of mankind: Calvino gives us his own limits. The descriptions are far-flung and often set the mind reeling with humor or more poignant observation. That he sometimes overextends himself is not such a crime, when occasionally, he does reach those heights.It's true to say that this book is not any one thing, that it defies description and draws from many sources and traditions, but neither do these varying and disparate influences coalesce into some wholly new vision. The closer he comes to any climax or conclusion, the more he grows uncertain.I'm not suggesting that such a climax is necessary--indeed, in a loosely-structured work like this, where the most effective aspect is the comparison and contradiction between each individual piece, shoehorning in such a convenient conclusion wouldn't really work--neither Petrarch nor Borges needed one. In their great collections, one could start almost anywhere, and end almost anywhere, without having lost the thread of their thoughts.What frustrates about Calvino is that he's constantly pushing towards conclusion, and harping on it despite the fact that such a conclusion is not even necessary--indeed, a work like this achieves its effect by the questions it asks, not the answers that it tries to give. So, Calvino ends up giving us numerous empty answers when simple silence would have been far more provocative.Is it ever really meaningful to end by stating 'maybe it is this way, maybe it is that way, maybe nothing exists at all'? What do we gain by saying this that we would not have by simply leaving it unsaid? The author who imagines stating that his own ignorance is profound is simply exercising the vanity of false humility.Better to let the observations and moments of wit speak for themselves. If the reader is not reminded of his own short-sightedness by these, then telling him he is short-sighted certainly won't help.I must say that these moments of falling flat could have been a subtlety of William Weaver's translation, but since such an issue is beyond my meager means to fully explore, I felt it better to tender my review to the book I read, rather than to the book that might exist out there, somewhere.",2009-03-17 05:34:54,3
Dan Schwent,"Marco Polo and Kublai Khan talk of cities Marco has visited.Where to begin with this one? I thought the writing was beautiful. Calvino and his translator painted vivid pictures of various cities, each a seemingly magical realm with its own quirks. As Marco tells more and more stories, Kublai questions the nature of his empire.Unfortunately, very little actually happens. While they are very well written, the individual city tales read almost like entries in a poet's travel journal. There's not really an actual story unless you consider an ongoing conversation between two historical figures a plot.While I'm glad I read it and I thought the writing was masterful, I don't feel like gushing about this particular book. Three out of five stars.",2015-03-09 08:12:15,3
